state,date,fips,cases,deaths,cfr
Alabama,2020-03-13,1,6,0,0.0
Alabama,2020-03-14,1,12,0,0.0
Alabama,2020-03-15,1,23,0,0.0
Alabama,2020-03-16,1,29,0,0.0
Alabama,2020-03-17,1,39,0,0.0
Alabama,2020-03-18,1,51,0,0.0
Alabama,2020-03-19,1,78,0,0.0
Alabama,2020-03-20,1,106,0,0.0
Alabama,2020-03-21,1,131,0,0.0
Alabama,2020-03-22,1,157,0,0.0
Alabama,2020-03-23,1,196,0,0.0
Alabama,2020-03-24,1,242,0,0.0
Alabama,2020-03-25,1,386,1,0.0025906735751295338
Alabama,2020-03-26,1,538,3,0.0055762081784386614
Alabama,2020-03-27,1,639,4,0.006259780907668232
Alabama,2020-03-28,1,720,4,0.005555555555555556
Alabama,2020-03-29,1,830,5,0.006024096385542169
Alabama,2020-03-30,1,947,11,0.011615628299894404
Alabama,2020-03-31,1,999,13,0.013013013013013013
Alabama,2020-04-01,1,1106,28,0.02531645569620253
Alabama,2020-04-02,1,1270,32,0.025196850393700787
Alabama,2020-04-03,1,1535,38,0.024755700325732898
Alabama,2020-04-04,1,1633,44,0.02694427434170239
Alabama,2020-04-05,1,1841,45,0.024443237370994023
Alabama,2020-04-06,1,2006,53,0.02642073778664008
Alabama,2020-04-07,1,2197,64,0.02913063268092854
Alabama,2020-04-08,1,2499,67,0.026810724289715888
Alabama,2020-04-09,1,2838,78,0.02748414376321353
Alabama,2020-04-10,1,3008,80,0.026595744680851064
Alabama,2020-04-11,1,3262,93,0.02851011649294911
Alabama,2020-04-12,1,3583,93,0.025955902874686018
Alabama,2020-04-13,1,3805,104,0.02733245729303548
Alabama,2020-04-14,1,3953,114,0.028838856564634453
Alabama,2020-04-15,1,4241,123,0.029002593727894363
Alabama,2020-04-16,1,4404,137,0.031108083560399638
Alabama,2020-04-17,1,4572,151,0.033027121609798774
Alabama,2020-04-18,1,4723,147,0.031124285411814525
Alabama,2020-04-19,1,4903,160,0.03263308178666123
Alabama,2020-04-20,1,5078,164,0.032296179598267034
Alabama,2020-04-21,1,5327,186,0.034916463300168954
Alaska,2020-03-12,2,1,0,0.0
Alaska,2020-03-13,2,1,0,0.0
Alaska,2020-03-14,2,1,0,0.0
Alaska,2020-03-15,2,1,0,0.0
Alaska,2020-03-16,2,3,0,0.0
Alaska,2020-03-17,2,6,0,0.0
Alaska,2020-03-18,2,9,0,0.0
Alaska,2020-03-19,2,12,0,0.0
Alaska,2020-03-20,2,14,0,0.0
Alaska,2020-03-21,2,21,0,0.0
Alaska,2020-03-22,2,22,0,0.0
Alaska,2020-03-23,2,36,0,0.0
Alaska,2020-03-24,2,42,0,0.0
Alaska,2020-03-25,2,59,0,0.0
Alaska,2020-03-26,2,69,0,0.0
Alaska,2020-03-27,2,85,1,0.011764705882352941
Alaska,2020-03-28,2,102,1,0.00980392156862745
Alaska,2020-03-29,2,114,1,0.008771929824561403
Alaska,2020-03-30,2,119,2,0.01680672268907563
Alaska,2020-03-31,2,133,2,0.015037593984962405
Alaska,2020-04-01,2,143,2,0.013986013986013986
Alaska,2020-04-02,2,146,2,0.0136986301369863
Alaska,2020-04-03,2,156,2,0.01282051282051282
Alaska,2020-04-04,2,169,3,0.01775147928994083
Alaska,2020-04-05,2,185,4,0.021621621621621623
Alaska,2020-04-06,2,189,4,0.021164021164021163
Alaska,2020-04-07,2,211,4,0.018957345971563982
Alaska,2020-04-08,2,224,5,0.022321428571428572
Alaska,2020-04-09,2,233,5,0.02145922746781116
Alaska,2020-04-10,2,244,5,0.020491803278688523
Alaska,2020-04-11,2,255,6,0.023529411764705882
Alaska,2020-04-12,2,270,6,0.022222222222222223
Alaska,2020-04-13,2,275,6,0.02181818181818182
Alaska,2020-04-14,2,283,7,0.024734982332155476
Alaska,2020-04-15,2,291,7,0.024054982817869417
Alaska,2020-04-16,2,298,7,0.02348993288590604
Alaska,2020-04-17,2,307,7,0.02280130293159609
Alaska,2020-04-18,2,312,7,0.022435897435897436
Alaska,2020-04-19,2,317,7,0.022082018927444796
Alaska,2020-04-20,2,319,7,0.0219435736677116
Alaska,2020-04-21,2,327,7,0.021406727828746176
American Samoa,2020-04-09,60,0,0,
American Samoa,2020-04-10,60,0,0,
American Samoa,2020-04-11,60,0,0,
American Samoa,2020-04-12,60,0,0,
American Samoa,2020-04-13,60,0,0,
American Samoa,2020-04-14,60,0,0,
American Samoa,2020-04-15,60,0,0,
American Samoa,2020-04-16,60,0,0,
American Samoa,2020-04-17,60,0,0,
American Samoa,2020-04-18,60,0,0,
American Samoa,2020-04-19,60,0,0,
American Samoa,2020-04-20,60,0,0,
American Samoa,2020-04-21,60,0,0,
Arizona,2020-01-26,4,1,0,0.0
Arizona,2020-01-27,4,1,0,0.0
Arizona,2020-01-28,4,1,0,0.0
Arizona,2020-01-29,4,1,0,0.0
Arizona,2020-01-30,4,1,0,0.0
Arizona,2020-01-31,4,1,0,0.0
Arizona,2020-02-01,4,1,0,0.0
Arizona,2020-02-02,4,1,0,0.0
Arizona,2020-02-03,4,1,0,0.0
Arizona,2020-02-04,4,1,0,0.0
Arizona,2020-02-05,4,1,0,0.0
Arizona,2020-02-06,4,1,0,0.0
Arizona,2020-02-07,4,1,0,0.0
Arizona,2020-02-08,4,1,0,0.0
Arizona,2020-02-09,4,1,0,0.0
